"","i","file_name","behaviour","behaviour_sub","in_validation_set","multimedia_id","path","deployment_id","sequence_id","location_name","timestamp"
"1",1,"00add8fd-bd07-4d43-a11d-ae8c30808c7e.jpg","m","w",FALSE,"00add8fd-bd07-4d43-a11d-ae8c30808c7e","https://multimedia.agouti.eu/assets/00add8fd-bd07-4d43-a11d-ae8c30808c7e/file","2cc8d313-ba9c-43c6-b5d0-f254f906f2d5","46acc55c-0b90-41dd-bda7-e373b5d8651c","OB-H4-05",2017-09-26 16:44:56
"2",2,"00b5636b-9c22-4249-bc85-d1b76934df3c.jpg","m","w",FALSE,"00b5636b-9c22-4249-bc85-d1b76934df3c","https://multimedia.agouti.eu/assets/00b5636b-9c22-4249-bc85-d1b76934df3c/file","7636a12d-8365-40a4-b137-58a10d71b683","c1826bbb-c7fa-4d0e-b84c-c7aa4f618a1f","H3R0-02",2016-01-03 00:19:37
"3",3,"00c62066-9ce3-499f-872f-c0f92dcfe616.jpg","o","c",FALSE,"00c62066-9ce3-499f-872f-c0f92dcfe616","https://multimedia.agouti.eu/assets/00c62066-9ce3-499f-872f-c0f92dcfe616/file","719b4509-af00-44a4-a0f6-bc91b9916b80","6f54f92b-a328-41b0-984f-83b7f7fa7d2c","OB-H1-03",2017-10-17 21:24:38
"4",4,"00f45ba7-3102-4ec0-b8c7-ab055ddd66da.jpg","o","st",FALSE,"00f45ba7-3102-4ec0-b8c7-ab055ddd66da","https://multimedia.agouti.eu/assets/00f45ba7-3102-4ec0-b8c7-ab055ddd66da/file","3b1473a3-334d-49bd-a83e-ab7901334c6c","49e49f0f-2a1d-461e-998b-50d1c74b02f3","H6R0-03-V07",2015-12-31 18:21:52
"5",5,"01154782-5ff2-493f-8dc5-8269cb065ce8.jpg","m","w",FALSE,"01154782-5ff2-493f-8dc5-8269cb065ce8","https://multimedia.agouti.eu/assets/01154782-5ff2-493f-8dc5-8269cb065ce8/file","444c4dde-f877-4a9d-bbf7-3e2193025db3","201a0c10-c74d-4795-b048-3c4aca8123f3","H6R0-01",2018-04-26 06:08:39
"6",6,"02772ad8-f3cb-45d5-83e3-2091aa38c795.jpg","f","sc",FALSE,"02772ad8-f3cb-45d5-83e3-2091aa38c795","https://multimedia.agouti.eu/assets/02772ad8-f3cb-45d5-83e3-2091aa38c795/file","98ec288d-c452-4e43-a25a-9c20c5ffd4bf","440f444a-1a25-49d6-b2c5-189f3c18a465","OB-H1-04",2017-05-15 16:28:51
"7",7,"02b0db31-97ee-4c76-8464-d647f2e710e6.jpg","f","gra",FALSE,"02b0db31-97ee-4c76-8464-d647f2e710e6","https://multimedia.agouti.eu/assets/02b0db31-97ee-4c76-8464-d647f2e710e6/file","ffbb1968-c571-48dc-b501-9cd668642adc","2d001da7-1652-4e5e-b2b8-2d54d4ee1ad9","H6R1-05",2018-04-15 00:59:09
"8",8,"03dee0b1-48dc-424a-a92b-dd33359d5333.jpg","f","gra",FALSE,"03dee0b1-48dc-424a-a92b-dd33359d5333","https://multimedia.agouti.eu/assets/03dee0b1-48dc-424a-a92b-dd33359d5333/file","2ae88bf5-9dba-432f-9471-2a6bd241e5c7","44f42937-d79e-4a8c-a276-436e27daeff0","OB-H4-02",2018-08-10 12:52:05
"9",9,"051d42ea-8406-4c1d-9bd8-9234a4dd962e.jpg","m","w",FALSE,"051d42ea-8406-4c1d-9bd8-9234a4dd962e","https://multimedia.agouti.eu/assets/051d42ea-8406-4c1d-9bd8-9234a4dd962e/file","3b45e899-2a56-4c26-866b-6e2dda6a1bba","17a0fde7-d99e-4165-ae38-7d645f793846","V11",2017-09-03 19:38:12
"10",10,"0535b0ef-445f-4b6a-9040-cf0b0c26e49b.jpg","m","ru",FALSE,"0535b0ef-445f-4b6a-9040-cf0b0c26e49b","https://multimedia.agouti.eu/assets/0535b0ef-445f-4b6a-9040-cf0b0c26e49b/file","760db021-ed16-4c91-b0fe-60286c2bcc62","a0a3106b-8956-4ccf-8b6d-40beb330f64f","H3R0-01",2016-05-15 09:52:20
